wkt_geom	tid	big_slope	curvature	width_change
Polygon ((192080 442345, 192085 442345, 192085 442340, 192080 442340, 192080 442345))	35360	-0.003630378283560276	0.002908039139583707	0.041279517114162445
Polygon ((192090 442380, 192095 442380, 192095 442375, 192090 442375, 192090 442380))	35381	0.021238528192043304	0	-0.05402110144495964
Polygon ((192070 442330, 192075 442330, 192075 442325, 192070 442325, 192070 442330))	35382	0.03611329197883606	0	0.022326525300741196
Polygon ((192070 442335, 192075 442335, 192075 442330, 192070 442330, 192070 442335))	35383	0.03910746052861214	0.0006520271417684853	-0.006178367882966995
Polygon ((192070 442340, 192075 442340, 192075 442335, 192070 442335, 192070 442340))	35384	0.03682563826441765	-0.002652015769854188	0.04452896863222122
Polygon ((192070 442345, 192075 442345, 192075 442340, 192070 442340, 192070 442345))	35385	0.02680961601436138	-0.00203596125356853	0.0038172216154634953
Polygon ((192070 442350, 192075 442350, 192075 442345, 192070 442345, 192070 442350))	35386	0.01403980515897274	0.00827600434422493	-0.01125255599617958
Polygon ((192075 442365, 192080 442365, 192080 442360, 192075 442360, 192075 442365))	35389	-0.05043955147266388	0.0032599831465631723	0.01068018190562725
Polygon ((192075 442370, 192080 442370, 192080 442365, 192075 442365, 192075 442370))	35390	-0.04225337505340576	-0.012647952884435654	-0.07297121733427048
Polygon ((192075 442375, 192080 442375, 192080 442370, 192075 442370, 192075 442375))	35391	-0.014325199648737907	0.0022439765743911266	-0.09649521857500076
Polygon ((192075 442380, 192080 442380, 192080 442375, 192075 442375, 192075 442380))	35392	0.010224628262221813	0.001707973424345255	-0.0976247489452362
Polygon ((192075 442385, 192080 442385, 192080 442380, 192075 442380, 192075 442385))	35393	0.018683139234781265	-0.00208002096042037	-0.12132855504751205
Polygon ((192075 442325, 192080 442325, 192080 442320, 192075 442320, 192075 442325))	35394	0.03981582075357437	0	0.05537693202495575
Polygon ((192075 442330, 192080 442330, 192080 442325, 192075 442325, 192075 442330))	35395	0.04497838020324707	0.004796028137207031	0.06897962093353271
Polygon ((192075 442335, 192080 442335, 192080 442330, 192075 442330, 192075 442335))	35396	0.04339306801557541	0.003635978791862726	0.04535922408103943
Polygon ((192075 442340, 192080 442340, 192080 442335, 192075 442335, 192075 442340))	35397	0.028401818126440048	0.003255996620282531	0.005900422111153603
Polygon ((192075 442345, 192080 442345, 192080 442340, 192075 442340, 192075 442345))	35398	0.012699754908680916	0.009319953620433807	-0.01435104664415121
Polygon ((192075 442350, 192080 442350, 192080 442345, 192075 442345, 192075 442350))	35399	-0.0013612516922876239	-0.00064001081045717	0.02972719818353653
Polygon ((192080 442350, 192085 442350, 192085 442345, 192080 442345, 192080 442350))	35400	-0.014186191372573376	-0.008143958635628223	0.03925199806690216
Polygon ((192080 442365, 192085 442365, 192085 442360, 192080 442360, 192080 442365))	35403	-0.04991249367594719	0.0025079918559640646	0.05954478681087494
Polygon ((192080 442370, 192085 442370, 192085 442365, 192080 442365, 192080 442370))	35404	-0.029473861679434776	-0.012312011793255806	-0.015293900854885578
