tid,slope,roughness,bed_level_x,aspect,bed_level_y,change,change_norm,predicted_target_norm,predicted_target
36183,1.5495,0.0013,7.5186,116.374,7.5789,0.0602999999999998,0.4766193013492236,0.29808292,0.045603257
36184,0.9668,0.0012,7.5661,108.428,7.5753,0.009200000000000763,-0.1441446989221491,0.37754065,0.052144054
36185,1.2141,0.003,7.5925,78.6567,7.5668,-0.0257000000000005,-0.5681107186769846,0.074338675,0.027185097
36186,8.0967,0.008,7.4655,55.7579,7.4167,-0.048799999999999955,-0.8487300612654121,-0.39983362,-0.011847781
36187,8.8277,0.0092,7.0303,56.2897,7.0355,0.005199999999999427,-0.1927367928768725,-0.4534213,-0.016259005
36188,1.7488,0.0035,6.8317,68.9755,6.8661,0.03440000000000065,0.16198549299250486,0.05012788,0.025192114
36189,2.5143,0.0021,6.7922,49.4176,6.8381,0.04589999999999961,0.30168776311227535,0.113270715,0.030389901
36190,2.306,0.002,6.6627,53.5674,6.717,0.05429999999999957,0.40373116041716,0.14696997,0.033163954
36191,1.9403,0.0016,7.4279,292.142,7.7898,0.36189999999999944,4.140463185534141,0.015308142,0.022325827
36192,1.7063,0.0012,7.4126,258.858,7.7539,0.3412999999999995,3.8902139016674,0.07959001,0.027617376
36193,1.4211,0.001,7.4319,146.523,7.6964,0.26449999999999996,2.9572456977370276,0.32877737,0.04812996
36194,1.1453,0.0009,7.4537,138.108,7.6457,0.19199999999999928,2.0765139948079514,0.38295877,0.05259006
36195,1.4687,0.001,7.4884,117.754,7.6137,0.1252999999999993,1.2662408281132094,0.34815842,0.04972537
36197,1.8557,0.001,7.6302,126.116,7.7678,0.13759999999999994,1.4156615170239417,0.30807304,0.046425626
36198,1.8288,0.0011,7.6442,179.175,7.7683,0.12410000000000032,1.2516631999268095,0.23959152,0.040788367
36199,1.3464,0.0013,7.6949,171.741,7.767,0.07210000000000072,0.619965978515621,0.276872,0.04385722
36200,1.4012,0.0011,7.7667,150.317,7.7655,-0.0011999999999998678,-0.27048414320439546,0.33366156,0.048532017
36201,0.7289,0.0028,7.8006,75.0706,7.7503,-0.05030000000000001,-0.8669520964984279,0.15146431,0.03353392
36202,8.3283,0.0087,7.6409,54.5362,7.5554,-0.08550000000000058,-1.294562523299858,-0.45720512,-0.01657048
36203,9.761,0.0099,7.1682,54.4682,7.1611,-0.00709999999999944,-0.3421574817875834,-0.5256141,-0.022201767
36204,4.2844,0.0049,7.6067,219.867,7.5849,-0.02179999999999982,-0.5207334270711369,-0.24750172,0.00069186464
36207,1.579,0.0018,6.7963,82.3122,6.8375,0.04120000000000079,0.24459205271550877,0.21480075,0.038747642
36208,1.6543,0.0013,6.7813,88.4483,6.801,0.019700000000000273,-0.016590452291048677,0.27575168,0.043764997
36209,1.2108,0.001,6.7857,72.9399,6.8084,0.0226999999999995,0.019853618174972307,0.36960047,0.051490434
36210,0.6895,0.0006,6.7658,344.518,6.814,0.048200000000000465,0.3296282171362424,0.3353005,0.04866693
36211,1.0963,0.0013,6.7785,238.125,6.8212,0.04269999999999996,0.26281408794851385,0.13470492,0.03215432
36212,3.4123,0.0039,6.8559,231.519,6.8603,0.004399999999999515,-0.20245521166781288,-0.15111648,0.008626098
